matrix,mode,schedule,chunk_size,num_threads,90percentile
pdb1HYS.mtx,parallel,guided,1000,32,0.003206
rajat24.mtx,parallel,static,1,1,0.003735
rajat24.mtx,parallel,static,1,2,0.002632
rajat24.mtx,parallel,static,1,4,0.003217
rajat24.mtx,parallel,static,1,8,0.003672
rajat24.mtx,parallel,static,1,16,0.003124
rajat24.mtx,parallel,static,1,32,0.002162
rajat24.mtx,parallel,static,10,1,0.003798
rajat24.mtx,parallel,static,10,2,0.002601
rajat24.mtx,parallel,static,10,4,0.003011
rajat24.mtx,parallel,static,10,8,0.002584
rajat24.mtx,parallel,static,10,16,0.001933
rajat24.mtx,parallel,static,10,32,0.001428
rajat24.mtx,parallel,static,100,1,0.003476
rajat24.mtx,parallel,static,100,2,0.002048
rajat24.mtx,parallel,static,100,4,0.001853
rajat24.mtx,parallel,static,100,8,0.001518
rajat24.mtx,parallel,static,100,16,0.001140
rajat24.mtx,parallel,static,100,32,0.001257
rajat24.mtx,parallel,static,1000,1,0.003287
rajat24.mtx,parallel,static,1000,2,0.001866
rajat24.mtx,parallel,static,1000,4,0.001426
rajat24.mtx,parallel,static,1000,8,0.001061
rajat24.mtx,parallel,static,1000,16,0.001133
rajat24.mtx,parallel,static,1000,32,0.001072
rajat24.mtx,parallel,dynamic,1,1,0.010162
rajat24.mtx,parallel,dynamic,1,2,0.027923
rajat24.mtx,parallel,dynamic,1,4,0.056849
rajat24.mtx,parallel,dynamic,1,8,0.058514
rajat24.mtx,parallel,dynamic,1,16,0.053053
rajat24.mtx,parallel,dynamic,1,32,0.049846
rajat24.mtx,parallel,dynamic,10,1,0.004160
rajat24.mtx,parallel,dynamic,10,2,0.005293
rajat24.mtx,parallel,dynamic,10,4,0.007500
rajat24.mtx,parallel,dynamic,10,8,0.007086
rajat24.mtx,parallel,dynamic,10,16,0.005801
rajat24.mtx,parallel,dynamic,10,32,0.005015
rajat24.mtx,parallel,dynamic,100,1,0.003417
rajat24.mtx,parallel,dynamic,100,2,0.002462
rajat24.mtx,parallel,dynamic,100,4,0.001959
rajat24.mtx,parallel,dynamic,100,8,0.001624
rajat24.mtx,parallel,dynamic,100,16,0.001273
rajat24.mtx,parallel,dynamic,100,32,0.001318
rajat24.mtx,parallel,dynamic,1000,1,0.003183
rajat24.mtx,parallel,dynamic,1000,2,0.001779
rajat24.mtx,parallel,dynamic,1000,4,0.001291
rajat24.mtx,parallel,dynamic,1000,8,0.000997
rajat24.mtx,parallel,dynamic,1000,16,0.000868
rajat24.mtx,parallel,dynamic,1000,32,0.001028
rajat24.mtx,parallel,guided,1,1,0.003167
rajat24.mtx,parallel,guided,1,2,0.001887
rajat24.mtx,parallel,guided,1,4,0.001348
rajat24.mtx,parallel,guided,1,8,0.000978
rajat24.mtx,parallel,guided,1,16,0.001084
rajat24.mtx,parallel,guided,1,32,0.001308
rajat24.mtx,parallel,guided,10,1,0.003155
rajat24.mtx,parallel,guided,10,2,0.001880
rajat24.mtx,parallel,guided,10,4,0.001302
rajat24.mtx,parallel,guided,10,8,0.001068
rajat24.mtx,parallel,guided,10,16,0.000967
rajat24.mtx,parallel,guided,10,32,0.001113
rajat24.mtx,parallel,guided,100,1,0.003264
rajat24.mtx,parallel,guided,100,2,0.001941
rajat24.mtx,parallel,guided,100,4,0.001342
rajat24.mtx,parallel,guided,100,8,0.000892
rajat24.mtx,parallel,guided,100,16,0.000970
rajat24.mtx,parallel,guided,100,32,0.001377
rajat24.mtx,parallel,guided,1000,1,0.003269
rajat24.mtx,parallel,guided,1000,2,0.002022
rajat24.mtx,parallel,guided,1000,4,0.001506
rajat24.mtx,parallel,guided,1000,8,0.000910
rajat24.mtx,parallel,guided,1000,16,0.001109
rajat24.mtx,parallel,guided,1000,32,0.001235
torso1.mtx,parallel,static,1,1,0.013092
torso1.mtx,parallel,static,1,2,0.007070
torso1.mtx,parallel,static,1,4,0.005161
torso1.mtx,parallel,static,1,8,0.003990
torso1.mtx,parallel,static,1,16,0.002861
torso1.mtx,parallel,static,1,32,0.002743
torso1.mtx,parallel,static,10,1,0.024772
torso1.mtx,parallel,static,10,2,0.006760
torso1.mtx,parallel,static,10,4,0.004408
torso1.mtx,parallel,static,10,8,0.003386
torso1.mtx,parallel,static,10,16,0.002633
torso1.mtx,parallel,static,10,32,0.002665
torso1.mtx,parallel,static,100,1,0.012800
torso1.mtx,parallel,static,100,2,0.006698
torso1.mtx,parallel,static,100,4,0.003994
torso1.mtx,parallel,static,100,8,0.002949
torso1.mtx,parallel,static,100,16,0.002169
torso1.mtx,parallel,static,100,32,0.002372
torso1.mtx,parallel,static,1000,1,0.012708
torso1.mtx,parallel,static,1000,2,0.007180
torso1.mtx,parallel,static,1000,4,0.006415
torso1.mtx,parallel,static,1000,8,0.003526
torso1.mtx,parallel,static,1000,16,0.002986
torso1.mtx,parallel,static,1000,32,0.002533
torso1.mtx,parallel,dynamic,1,1,0.015079
torso1.mtx,parallel,dynamic,1,2,0.014858
torso1.mtx,parallel,dynamic,1,4,0.018573
torso1.mtx,parallel,dynamic,1,8,0.021094
torso1.mtx,parallel,dynamic,1,16,0.019254
torso1.mtx,parallel,dynamic,1,32,0.017183
torso1.mtx,parallel,dynamic,10,1,0.025123
torso1.mtx,parallel,dynamic,10,2,0.007440
torso1.mtx,parallel,dynamic,10,4,0.005500
torso1.mtx,parallel,dynamic,10,8,0.004052
torso1.mtx,parallel,dynamic,10,16,0.003368
torso1.mtx,parallel,dynamic,10,32,0.003056
torso1.mtx,parallel,dynamic,100,1,0.012708
torso1.mtx,parallel,dynamic,100,2,0.006460
torso1.mtx,parallel,dynamic,100,4,0.003867
torso1.mtx,parallel,dynamic,100,8,0.002867
torso1.mtx,parallel,dynamic,100,16,0.002873
torso1.mtx,parallel,dynamic,100,32,0.003068
torso1.mtx,parallel,dynamic,1000,1,0.012723
torso1.mtx,parallel,dynamic,1000,2,0.006607
torso1.mtx,parallel,dynamic,1000,4,0.004317
torso1.mtx,parallel,dynamic,1000,8,0.003161
torso1.mtx,parallel,dynamic,1000,16,0.002939
torso1.mtx,parallel,dynamic,1000,32,0.004232
torso1.mtx,parallel,guided,1,1,0.012423
torso1.mtx,parallel,guided,1,2,0.006329
torso1.mtx,parallel,guided,1,4,0.003786
torso1.mtx,parallel,guided,1,8,0.002738
torso1.mtx,parallel,guided,1,16,0.002659
torso1.mtx,parallel,guided,1,32,0.003346
torso1.mtx,parallel,guided,10,1,0.024836
torso1.mtx,parallel,guided,10,2,0.006298
torso1.mtx,parallel,guided,10,4,0.003713
torso1.mtx,parallel,guided,10,8,0.002763
torso1.mtx,parallel,guided,10,16,0.002891
torso1.mtx,parallel,guided,10,32,0.004388
torso1.mtx,parallel,guided,100,1,0.012325
torso1.mtx,parallel,guided,100,2,0.006386
torso1.mtx,parallel,guided,100,4,0.003851
torso1.mtx,parallel,guided,100,8,0.002801
torso1.mtx,parallel,guided,100,16,0.002784
torso1.mtx,parallel,guided,100,32,0.002518
torso1.mtx,parallel,guided,1000,1,0.012933
torso1.mtx,parallel,guided,1000,2,0.006526
torso1.mtx,parallel,guided,1000,4,0.004303
torso1.mtx,parallel,guided,1000,8,0.003134
torso1.mtx,parallel,guided,1000,16,0.002809
torso1.mtx,parallel,guided,1000,32,0.005350
