matrix,mode,schedule,chunk_size,num_threads,run_number,l1_loads,l1_misses,l1_miss_rate_percent,llc_loads,llc_misses,llc_miss_rate_percent
pdb1HYS.mtx,parallel,dynamic,100,4,5,1642212267,5455581,0.3322,50043,24236,48.4303
pdb1HYS.mtx,parallel,dynamic,100,8,1,1642015720,5047513,0.3074,40182,20270,50.4455
pdb1HYS.mtx,parallel,dynamic,100,8,2,1641973487,5061985,0.3083,38022,18267,48.0432
pdb1HYS.mtx,parallel,dynamic,100,8,3,1642009170,5077191,0.3092,40531,20005,49.3573
pdb1HYS.mtx,parallel,dynamic,100,8,4,1642009977,5060075,0.3082,40030,19628,49.0332
pdb1HYS.mtx,parallel,dynamic,100,8,5,1642010764,5071965,0.3089,39905,19318,48.4100
pdb1HYS.mtx,parallel,dynamic,100,16,1,1642939439,5071886,0.3087,44223,20212,45.7047
pdb1HYS.mtx,parallel,dynamic,100,16,2,1642740224,5028659,0.3061,44258,19457,43.9627
pdb1HYS.mtx,parallel,dynamic,100,16,3,1642890232,5025404,0.3059,43619,19842,45.4894
pdb1HYS.mtx,parallel,dynamic,100,16,4,1642994788,5043693,0.3070,43937,19844,45.1647
pdb1HYS.mtx,parallel,dynamic,100,16,5,1642995763,5078175,0.3091,45160,20473,45.3344
pdb1HYS.mtx,parallel,dynamic,100,32,1,1645462198,5105937,0.3103,47828,20999,43.9052
pdb1HYS.mtx,parallel,dynamic,100,32,2,1645738811,5030825,0.3057,47359,20091,42.4228
pdb1HYS.mtx,parallel,dynamic,100,32,3,1645158095,5081708,0.3089,48285,20638,42.7421
pdb1HYS.mtx,parallel,dynamic,100,32,4,1645623841,5051576,0.3070,47431,20942,44.1526
pdb1HYS.mtx,parallel,dynamic,100,32,5,1645367362,5074158,0.3084,48117,21100,43.8514
pdb1HYS.mtx,parallel,dynamic,1000,1,1,1641291184,4975101,0.3031,25736,10713,41.6265
pdb1HYS.mtx,parallel,dynamic,1000,1,2,1641291187,4981384,0.3035,25059,10053,40.1173
pdb1HYS.mtx,parallel,dynamic,1000,1,3,1641291184,5018473,0.3058,23829,10127,42.4986
pdb1HYS.mtx,parallel,dynamic,1000,1,4,1641291184,4989764,0.3040,25029,10122,40.4411
pdb1HYS.mtx,parallel,dynamic,1000,1,5,1641291184,5049209,0.3076,25372,10210,40.2412
pdb1HYS.mtx,parallel,dynamic,1000,2,1,1641374613,4989858,0.3040,25122,10263,40.8526
pdb1HYS.mtx,parallel,dynamic,1000,2,2,1641392974,5047757,0.3075,26166,10464,39.9908
pdb1HYS.mtx,parallel,dynamic,1000,2,3,1641378780,5012785,0.3054,25497,10302,40.4048
pdb1HYS.mtx,parallel,dynamic,1000,2,4,1641393067,5004338,0.3049,26259,10388,39.5598
pdb1HYS.mtx,parallel,dynamic,1000,2,5,1641392625,5008966,0.3052,25810,10643,41.2360
pdb1HYS.mtx,parallel,dynamic,1000,4,1,1642219318,5422400,0.3302,43558,22383,51.3867
pdb1HYS.mtx,parallel,dynamic,1000,4,2,1641553246,5034808,0.3067,27653,12767,46.1686
pdb1HYS.mtx,parallel,dynamic,1000,4,3,1641594801,5044521,0.3073,29304,13865,47.3144
pdb1HYS.mtx,parallel,dynamic,1000,4,4,1641551373,5002488,0.3047,28128,12277,43.6469
pdb1HYS.mtx,parallel,dynamic,1000,4,5,1641594446,5028984,0.3063,28156,12212,43.3726
pdb1HYS.mtx,parallel,dynamic,1000,8,1,1642008824,4991613,0.3040,32248,15828,49.0821
pdb1HYS.mtx,parallel,dynamic,1000,8,2,1641998853,5053297,0.3078,31389,14819,47.2108
pdb1HYS.mtx,parallel,dynamic,1000,8,3,1642035097,5068640,0.3087,32953,16076,48.7846
pdb1HYS.mtx,parallel,dynamic,1000,8,4,1641944736,5108303,0.3111,31217,14050,45.0075
pdb1HYS.mtx,parallel,dynamic,1000,8,5,1643463665,5421303,0.3299,46353,24731,53.3536
pdb1HYS.mtx,parallel,dynamic,1000,16,1,1646054913,5335971,0.3242,49997,26089,52.1811
pdb1HYS.mtx,parallel,dynamic,1000,16,2,1646146212,5386969,0.3272,51003,25901,50.7833
pdb1HYS.mtx,parallel,dynamic,1000,16,3,1646148175,5396865,0.3278,50429,25588,50.7406
pdb1HYS.mtx,parallel,dynamic,1000,16,4,1646140303,5334131,0.3240,49011,23930,48.8258
pdb1HYS.mtx,parallel,dynamic,1000,16,5,1646179104,5400671,0.3281,48842,24626,50.4197
pdb1HYS.mtx,parallel,dynamic,1000,32,1,1645664554,5038672,0.3062,36502,15439,42.2963
pdb1HYS.mtx,parallel,dynamic,1000,32,2,1651771831,5411495,0.3276,51579,25746,49.9157
pdb1HYS.mtx,parallel,dynamic,1000,32,3,1646965920,5067971,0.3077,36509,15998,43.8193
pdb1HYS.mtx,parallel,dynamic,1000,32,4,1645650494,5053900,0.3071,36519,16036,43.9114
pdb1HYS.mtx,parallel,dynamic,1000,32,5,1645532148,5078501,0.3086,36582,16121,44.0681
pdb1HYS.mtx,parallel,guided,1,1,1,1641290692,5027929,0.3063,24410,9798,40.1393
pdb1HYS.mtx,parallel,guided,1,1,2,1641290692,5012917,0.3054,24954,10451,41.8811
pdb1HYS.mtx,parallel,guided,1,1,3,1641290689,5345177,0.3257,39346,19140,48.6454
pdb1HYS.mtx,parallel,guided,1,1,4,1641290689,5004220,0.3049,24652,10335,41.9236
pdb1HYS.mtx,parallel,guided,1,1,5,1641290685,4994664,0.3043,24933,10252,41.1182
pdb1HYS.mtx,parallel,guided,1,2,1,1641392555,4999437,0.3046,25551,10077,39.4388
pdb1HYS.mtx,parallel,guided,1,2,2,1641369267,4999256,0.3046,23942,10039,41.9305
pdb1HYS.mtx,parallel,guided,1,2,3,1641396268,5037391,0.3069,24815,10118,40.7737
pdb1HYS.mtx,parallel,guided,1,2,4,1641610681,5376262,0.3275,39139,18457,47.1576
pdb1HYS.mtx,parallel,guided,1,2,5,1641393794,5043700,0.3073,24561,10056,40.9430
pdb1HYS.mtx,parallel,guided,1,4,1,1641574132,5035695,0.3068,26309,11231,42.6888
